ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
US1TXAG0005,20140809,PRCP,0,,,N,0710
US1TXAG0005,20140810,PRCP,0,,,N,0700
US1TXAG0005,20140811,PRCP,0,,,N,0700
US1TXAG0005,20140812,PRCP,269,,,N,0700
US1TXAG0005,20140813,PRCP,0,,,N,0700
US1TXAG0005,20140814,PRCP,0,,,N,0700
US1TXAG0005,20140815,PRCP,0,,,N,0700
US1TXAG0005,20140818,PRCP,0,,,N,0700
US1TXAG0005,20140819,PRCP,0,,,N,0700
US1TXAG0005,20140820,PRCP,94,,,N,0700
US1TXAG0005,20140821,PRCP,15,,,N,0700
US1TXAG0005,20140822,PRCP,0,,,N,0700
US1TXAG0005,20140823,PRCP,0,,,N,0700
US1TXAG0005,20140824,PRCP,0,,,N,0700
US1TXAG0005,20140826,PRCP,0,,,N,0700
US1TXAG0005,20140827,PRCP,0,,,N,0700
US1TXAG0005,20140828,PRCP,0,,,N,0700
US1TXAG0005,20140829,PRCP,8,,,N,0700
US1TXAG0005,20140830,PRCP,3,,,N,0700
US1TXAG0005,20140831,PRCP,18,,,N,0700
US1TXAG0005,20140809,SNOW,0,,,N,0710
US1TXAG0005,20140810,SNOW,0,,,N,0700
US1TXAG0005,20140811,SNOW,0,,,N,0700
US1TXAG0005,20140813,SNOW,0,,,N,0700
US1TXAG0005,20140814,SNOW,0,,,N,0700
US1TXAG0005,20140815,SNOW,0,,,N,0700
US1TXAG0005,20140818,SNOW,0,,,N,0700
US1TXAG0005,20140819,SNOW,0,,,N,0700
US1TXAG0005,20140822,SNOW,0,,,N,0700
US1TXAG0005,20140823,SNOW,0,,,N,0700
US1TXAG0005,20140824,SNOW,0,,,N,0700
US1TXAG0005,20140826,SNOW,0,,,N,0700
US1TXAG0005,20140827,SNOW,0,,,N,0700
US1TXAG0005,20140828,SNOW,0,,,N,0700
US1TXAG0005,20140901,PRCP,0,,,N,0700
US1TXAG0005,20140902,PRCP,0,,,N,0700
US1TXAG0005,20140903,PRCP,3,,,N,0700
US1TXAG0005,20140904,PRCP,0,,,N,0700
US1TXAG0005,20140905,PRCP,0,,,N,0700
US1TXAG0005,20140906,PRCP,0,,,N,0700
US1TXAG0005,20140907,PRCP,0,,,N,0700
US1TXAG0005,20140908,PRCP,0,,,N,0700
US1TXAG0005,20140909,PRCP,0,,,N,0700
US1TXAG0005,20140910,PRCP,0,,,N,0700
US1TXAG0005,20140911,PRCP,0,,,N,0700
US1TXAG0005,20140912,PRCP,0,,,N,0700
US1TXAG0005,20140913,PRCP,348,,,N,0700
US1TXAG0005,20140914,PRCP,0,,,N,0700
US1TXAG0005,20140915,PRCP,0,,,N,0700
US1TXAG0005,20140916,PRCP,0,,,N,0700
US1TXAG0005,20140917,PRCP,25,,,N,0700
US1TXAG0005,20140918,PRCP,5,,,N,0700
US1TXAG0005,20140919,PRCP,33,,,N,0700
US1TXAG0005,20140920,PRCP,0,,,N,0700
US1TXAG0005,20140921,PRCP,0,,,N,0700
US1TXAG0005,20140922,PRCP,0,,,N,0700
US1TXAG0005,20140923,PRCP,0,,,N,0700
US1TXAG0005,20140924,PRCP,0,,,N,0700
US1TXAG0005,20140925,PRCP,0,,,N,0700
US1TXAG0005,20140926,PRCP,0,,,N,0700
US1TXAG0005,20140927,PRCP,0,,,N,0700
US1TXAG0005,20140928,PRCP,0,,,N,0700
US1TXAG0005,20140929,PRCP,0,,,N,0700
US1TXAG0005,20140930,PRCP,0,,,N,0700
